session_key,user_id,date,hour,creative,ad_set,cta_type,cta_location,is_reserve_cta
74,7281,2026-07-20,19,family_taste,family,view_menu,hero,0
127,1371,2026-07-20,21,business_space_carousel,business,view_menu,hero,0
127,1371,2026-07-20,21,business_space_carousel,business,view_menu,hero,0
139,3105,2026-07-20,21,family_taste,family,message_book,hero,1
486,5527,2026-07-21,13,business_taste,business,message_book,hero,1
520,3397,2026-07-21,13,family_taste,family,call_phone,floating,1
742,4412,2026-07-21,21,business_taste,business,directions_reserve,hero,0
742,4412,2026-07-21,21,business_taste,business,directions_reserve,hero,0
875,3871,2026-07-22,0,family_taste,family,view_menu,hero,0
937,6187,2026-07-22,2,family_taste,family,message_book,hero,1
948,4601,2026-07-22,3,family_taste,family,message_book,hero,1
1012,4281,2026-07-22,6,business_taste,business,message_book,header,1
1083,4281,2026-07-22,8,business_taste,business,message_book,header,1
1096,810,2026-07-22,9,family_taste,family,call_phone,floating,1
1224,2751,2026-07-22,12,business_taste,business,message_book,hero,1
1274,366,2026-07-22,12,family_taste,family,directions_reserve,hero,0
1274,366,2026-07-22,12,family_taste,family,directions_reserve,hero,0
1274,366,2026-07-22,12,family_taste,family,directions_reserve,hero,0
1359,789,2026-07-22,14,business_taste,business,call_phone,visit_section,1
1421,2146,2026-07-22,16,business_taste,business,message_book,hero,1
1510,107,2026-07-22,20,family_taste,family,message_book,hero,1
1641,938,2026-07-22,22,family_taste,family,call_phone,floating,1
1753,2418,2026-07-23,2,business_taste,business,directions_reserve,hero,0
1863,3354,2026-07-23,10,family_taste,family,message_book,hero,1
1902,4488,2026-07-23,11,business_taste,business,directions_reserve,hero,0
1915,2524,2026-07-23,12,family_taste,family,call_phone,floating,1
2087,2578,2026-07-23,19,business_taste,business,call_phone,floating,1
2107,7361,2026-07-23,20,family_bday_img,family,call_phone,floating,1
2107,7361,2026-07-23,20,family_bday_img,family,message_book,header,1
2114,4097,2026-07-23,20,business_taste,business,message_book,header,1
2156,4910,2026-07-23,21,business_taste,business,call_phone,floating,1
2232,2661,2026-07-23,22,business_taste,business,message_book,hero,1
2310,3052,2026-07-24,4,family_bday_img,family,call_phone,floating,1
2317,6797,2026-07-24,5,business_taste,business,call_phone,floating,1
2555,4919,2026-07-24,16,business_taste,business,message_book,hero,1
2734,695,2026-07-24,21,business_taste,business,call_phone,floating,1
2754,5076,2026-07-24,22,business_taste,business,message_book,hero,1
2932,4041,2026-07-25,9,family_taste,family,call_phone,floating,1
3057,2542,2026-07-25,14,business_taste,business,message_book,hero,1
3108,6717,2026-07-25,16,business_taste,business,call_phone,floating,1
3125,4197,2026-07-25,18,business_taste,business,directions_reserve,hero,0
3128,34,2026-07-25,18,business_taste,business,message_book,hero,1
3207,7620,2026-07-25,20,family_taste,family,view_menu,hero,0
3254,4375,2026-07-25,21,business_taste,business,directions_reserve,visit_section,0
3273,3102,2026-07-25,21,business_taste,business,message_book,hero,1
3397,7202,2026-07-26,4,business_taste,business,message_book,hero,1
3418,4761,2026-07-26,6,business_taste,business,message_book,header,1
3457,1693,2026-07-26,7,business_taste,business,message_book,hero,1
3460,70,2026-07-26,8,(none),광고 외,call_phone,floating,1
3629,5218,2026-07-26,12,business_taste,business,call_phone,floating,1
3785,5756,2026-07-26,17,business_taste,business,call_phone,floating,1
3804,2233,2026-07-26,18,business_taste,business,message_book,header,1
3823,58,2026-07-26,19,business_taste,business,call_phone,floating,1
3971,7926,2026-07-26,21,business_taste,business,call_phone,floating,1
3985,7575,2026-07-26,22,family_taste,family,message_book,hero,1
4002,4736,2026-07-26,22,business_taste,business,message_book,hero,1
4045,6473,2026-07-26,23,business_taste,business,directions_reserve,hero,0
4126,4986,2026-07-27,5,business_taste,business,message_book,hero,1
4393,1646,2026-07-27,13,business_taste,business,call_phone,floating,1
4393,1646,2026-07-27,13,business_taste,business,call_phone,floating,1
4405,4805,2026-07-27,13,business_taste,business,message_book,hero,1
4420,6672,2026-07-27,14,business_taste,business,message_book,hero,1
4554,6954,2026-07-27,19,business_taste,business,message_book,hero,1
4593,7916,2026-07-27,20,business_taste,business,message_book,hero,1
4628,7013,2026-07-27,20,business_taste,business,message_book,header,1
4654,2460,2026-07-27,20,family_taste,family,directions_reserve,hero,0
4654,2460,2026-07-27,20,family_taste,family,view_menu,hero,0
4858,732,2026-07-28,7,business_taste,business,message_book,header,1
