date,creative,creative_label,phase,impressions,link_clicks,spend_vnd
2026-07-20,business_space_carousel,비즈니스 × 공간 (캐러셀),1차,7386,142,131452
2026-07-20,business_taste,비즈니스 × 맛 (영상),1차,1683,38,29357
2026-07-20,family_bday_img,가족 × 생일 (이미지),1차,3999,42,70694
2026-07-20,family_taste,가족 × 맛 (영상),1차,28901,283,157559
2026-07-21,business_space_carousel,비즈니스 × 공간 (캐러셀),1차,3980,91,78710
2026-07-21,business_taste,비즈니스 × 맛 (영상),1차,15112,617,329324
2026-07-21,family_bday_img,가족 × 생일 (이미지),1차,9206,40,27905
2026-07-21,family_taste,가족 × 맛 (영상),1차,27847,529,300031
2026-07-22,business_space_carousel,비즈니스 × 공간 (캐러셀),1차,159,2,3034
2026-07-22,business_taste,비즈니스 × 맛 (영상),1차,15876,836,336284
2026-07-22,family_bday_img,가족 × 생일 (이미지),1차,260,7,3234
2026-07-22,family_taste,가족 × 맛 (영상),1차,19903,674,331137
2026-07-23,business_space_carousel,비즈니스 × 공간 (캐러셀),1차,7,0,119
2026-07-23,business_taste,비즈니스 × 맛 (영상),1차,12934,669,275542
2026-07-23,family_bday_img,가족 × 생일 (이미지),1차,19792,83,57696
2026-07-23,family_taste,가족 × 맛 (영상),1차,8899,271,158608
2026-07-24,business_taste,비즈니스 × 맛 (영상),1차,11633,664,257786
2026-07-24,family_bday_img,가족 × 생일 (이미지),1차,618,13,9222
2026-07-24,family_taste,가족 × 맛 (영상),1차,8562,389,268840
2026-07-25,business_taste,비즈니스 × 맛 (영상),1차,10014,624,244937
2026-07-25,family_bday_img,가족 × 생일 (이미지),1차,663,13,9353
2026-07-25,family_taste,가족 × 맛 (영상),1차,10405,426,292283
2026-07-26,business_taste,비즈니스 × 맛 (영상),1차,15239,923,380862
2026-07-26,family_bday_img,가족 × 생일 (이미지),1차,666,21,12562
2026-07-26,family_taste,가족 × 맛 (영상),1차,13097,514,377870
2026-07-27,business_space_carousel,비즈니스 × 공간 (캐러셀),1차,8,0,125
2026-07-27,business_taste,비즈니스 × 맛 (영상),1차,12894,777,319461
2026-07-27,family_bday_img,가족 × 생일 (이미지),1차,1462,44,23140
2026-07-27,family_taste,가족 × 맛 (영상),1차,10010,457,323056
2026-07-28,business_taste,비즈니스 × 맛 (영상),1차,12675,809,333382
2026-07-28,family_bday_img,가족 × 생일 (이미지),1차,1109,23,15558
2026-07-28,family_taste,가족 × 맛 (영상),1차,8813,420,278075
2026-07-29,business_space_vid,비즈니스 × 공간 (영상),2차,1606,69,42517
2026-07-29,business_taste,비즈니스 × 맛 (영상),2차,10075,519,237001
2026-07-29,family_bday_img,가족 × 생일 (이미지),2차,124,7,3011
2026-07-29,family_bday_vid,가족 × 생일 (영상),2차,6355,313,190637
2026-07-29,family_taste,가족 × 맛 (영상),2차,1772,94,63296
2026-07-30,business_space_vid,비즈니스 × 공간 (영상),2차,802,31,14266
2026-07-30,business_taste,비즈니스 × 맛 (영상),2차,19208,896,359705
2026-07-30,family_bday_vid,가족 × 생일 (영상),2차,12559,632,343836
2026-07-30,family_taste,가족 × 맛 (영상),2차,1050,51,28675
2026-07-31,business_space_vid,비즈니스 × 공간 (영상),2차,2306,63,37387
2026-07-31,business_taste,비즈니스 × 맛 (영상),2차,17446,883,309118
2026-07-31,family_bday_vid,가족 × 생일 (영상),2차,14690,635,340587
2026-07-31,family_taste,가족 × 맛 (영상),2차,474,28,14046
2026-08-01,business_space_vid,비즈니스 × 공간 (영상),2차,289,7,3773
2026-08-01,business_taste,비즈니스 × 맛 (영상),2차,21919,969,370117
2026-08-01,family_bday_vid,가족 × 생일 (영상),2차,17957,586,326961
2026-08-01,family_taste,가족 × 맛 (영상),2차,1180,44,22878
2026-08-02,business_space_vid,비즈니스 × 공간 (영상),2차,19,0,185
2026-08-02,business_taste,비즈니스 × 맛 (영상),2차,22550,1000,366125
2026-08-02,family_bday_vid,가족 × 생일 (영상),2차,13634,540,295968
2026-08-02,family_taste,가족 × 맛 (영상),2차,309,17,9235
