session_key,user_id,date,hour,weekday,weekday_ko,weekday_no,phase,creative,creative_label,ad_set,device,os,os_family,city,language,is_arrival,is_anyclick,is_action,is_cta,is_reserve,is_message,is_call,is_menu_view,is_dead_click,is_rage_click,is_nav,is_menu_tab,is_menu_group,is_view_menu,is_directions,is_lang_switch,is_privacy
0,4949,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5939,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1188,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1664,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Ho Chi Minh City,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2324,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5187,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3579,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,521,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5405,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Vinh,Vietnamese,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3090,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Ho Chi Minh City,Vietnamese,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,5468,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7097,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4513,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2434,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7429,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1969,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,Android,Hanoi,Vietnamese,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4220,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2495,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7922,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5274,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Da Nang,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2363,2026-07-20,15,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7936,2026-07-20,15,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3518,2026-07-20,15,Mon,월,1,1차,family_bday_img,가족 × 생일 (이미지),family,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3611,2026-07-20,15,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1256,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,Android,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4472,2026-07-20,16,Mon,월,1,1차,business_taste,비즈니스 × 맛 (영상),business,mobile,Facebook,iOS,Hanoi,Vietnamese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
